"Fecha_Ocurrencia","Codigo_Accidente","Direccion","Barrio","Vehiculos Involucrados","Heridos","Accidente con","Muertes","Clase de Accidente"
"2022 Apr 07 12:00:00 AM","A001371922","KILOMETRO 1+200 MTS VIA RESGUARDO     EL RESGUARDO","No registra","1","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Apr 09 12:00:00 AM","A001371923","CARRERA 23 FRENTE AL COMPLEJO GANADERO","No registra","2","3","HERIDOS","NO APLICA","CHOQUE"
"2022 Apr 13 12:00:00 AM","A001456778","DIAGONAL 15 CARRERA  27A 33  SAN JOSÉ","SAN JOSÉ","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Apr 14 12:00:00 AM","A001456779","CALLE 11 #32 67   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Apr 15 12:00:00 AM","A001456780","CARRERA 18 # 6 18  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Apr 09 12:00:00 AM","A001371925","CALLE 13 CARRERA  18   CENTRO","CENTRO","1","0","DAÑOS MATERIALES","NO APLICA","VOLCAMIENTO"
"2022 Apr 09 12:00:00 AM","A001371924","CARRERA 23 CALLE  17 DIAGONAL 15  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Apr 10 12:00:00 AM","A001371926","CALLE 15 CARRERA  18   CENTRO","CENTRO","1","2","HERIDOS","NO APLICA","ATROPELLO"
"2022 Apr 10 12:00:00 AM","A001371927","CALLE 13 CARRERA  16   CENTRO","CENTRO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Apr 12 12:00:00 AM","A001456777","CARRERA 33 CALLE  16D   BACHUE","BACHUE","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2022 Apr 17 12:00:00 AM","A001456783","CARRERA 22 CALLE  15   COOPERATIVO","COOPERATIVO","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2022 Apr 16 12:00:00 AM","A001456781","AVENIDA 23 CALLE  27   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Apr 20 12:00:00 AM","A001456784","CALLE 13 CARRERA  26   SAN JOSÉ","SAN JOSÉ","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Apr 27 12:00:00 AM","A001456786","CALLE 15 # 16 7  CENTRO","CENTRO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Apr 25 12:00:00 AM","A001456785","CARRERA 23 CALLE  15   SAN JOSÉ","SAN JOSÉ","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Apr 30 12:00:00 AM","A001456789","CALLE 14 # 29 34  BACHUE","BACHUE","1","1","HERIDOS","NO APLICA","OTRO"
"2022 Apr 05 12:00:00 AM","C-001441380","KILOMETRO 46+200 MTS     VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","3","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Apr 16 12:00:00 AM","C-001441393","KILOMETRO 46+300 MTS     VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","4","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Apr 29 12:00:00 AM","C-001441405","KILOMETRO 46+400 MTS     VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 May 02 12:00:00 AM","A001456738","CARRERA 18 # 8A - 21 SANTA ISABEL","SANTA ISABEL","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 May 01 12:00:00 AM","A001456787","CALLE 12 # 34A - 26 SAMAN","SAMAN","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2022 May 05 12:00:00 AM","A001456790","CALLE 18 INTERSECCIÓN 20","No registra","2","1","HERIDOS","NO APLICA","ATROPELLO"
"2022 May 07 12:00:00 AM","A001456791","DIAGONAL 5  17 - 7 PABLO EMILIO RIVEROS","PABLO EMILIO RIVEROS","1","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 May 08 12:00:00 AM","A001456792","CALLE 16 INTERSECCIÓN 33   BACHUE","BACHUE","2","4","HERIDOS","NO APLICA","CHOQUE"
"2022 May 13 12:00:00 AM","A001456793","CARRERA 23 # 11 - 9 DORADO BAJO","DORADO BAJO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 May 14 12:00:00 AM","A001456794","CALLE 11 # 17 - 57","No registra","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 May 16 12:00:00 AM","A001456795","KILOMETRO 8+400 COLEGIO JUAN ROZO     EL RESGUARDO","No registra","2","0","HERIDOS","NO APLICA","CHOQUE"
"2022 May 21 12:00:00 AM","A001456796","CALLE 19 # 25 - 72 SAN JOSÉ","SAN JOSÉ","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 May 23 12:00:00 AM","A001456797","CARRERA 33 INTERSECCIÓN 16C","No registra","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 May 25 12:00:00 AM","A001456798","CALLE 17 CARRERA 19   MANCERA","MANCERA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 May 26 12:00:00 AM","A001456799","CARRERA 23 CALLE 5 - 129 PABLO EMILIO RIVEROS","PABLO EMILIO RIVEROS","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 May 28 12:00:00 AM","A001456782","CALLE 18 CARRERA 19","No registra","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 May 31 12:00:00 AM","A001456803","CARRERA 23 CALLE 11   SAN JOSÉ","SAN JOSÉ","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 May 30 12:00:00 AM","A001456801","DIAGONAL 15 # 27A - 45 SAN JOSÉ","SAN JOSÉ","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 May 29 12:00:00 AM","A001456800","AVENIDA 23 INTERSECCIÓN 25   LA TIZA","LA TIZA","2","0","HERIDOS","NO APLICA","CHOQUE"
"2022 May 13 12:00:00 AM","C-001441416","KILOMETRO 55+200     VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","3","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Jun 01 12:00:00 AM","A001456802","CALLE 13 # 23 2  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jun 04 12:00:00 AM","A001456804","CARRERA 23 DIAGONAL  15   SAN JOSÉ","SAN JOSÉ","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Jun 06 12:00:00 AM","A001456805","KILOMETRO 19+200 MTS VIA ACACIAS SANTA ROSA     SANTA ROSA","No registra","2","3","HERIDOS","NO APLICA","CHOQUE"
"2022 Jun 08 12:00:00 AM","A001456806","CARRERA 23 CALLE  18   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Jun 22 12:00:00 AM","A001456808","CARRERA 47 CALLE  17   COLINAS","COLINAS","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jun 19 12:00:00 AM","A001456807","CARRERA 29 CALLE  12   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Jun 22 12:00:00 AM","A001456809","CALLE 12 CARRERA 33 SAMAN  SAMAN","SAMAN","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2022 Jun 22 12:00:00 AM","A001456810","CARRERA 30 # 17 5 ASOCIACION DE AMIGOS ASOCIACIÓN DE AMIGOS","ASOCIACIÓN DE AMIGOS","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2022 Jun 24 12:00:00 AM","A001456811","CALLE 14 CARRERA  24   SAN JOSÉ","SAN JOSÉ","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jun 26 12:00:00 AM","A001456812","CARRERA 23 CALLE  5 102  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Jun 25 12:00:00 AM","A001456813","CALLE 16 CARRERA  25   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jun 25 12:00:00 AM","A001456814","MALECON TURISTICO    MALECÓN TURISTICO","MALECÓN TURISTICO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jun 16 12:00:00 AM","A001456815","CALLE 13 CARRERA  20   COOPERATIVO","COOPERATIVO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jun 07 12:00:00 AM","C-001441436","KILOMETRO 47+300 MTS     VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","3","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jun 16 12:00:00 AM","C-001479120","KILOMETRO 48+000MTS   VEREDA EL CENTRO  VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","3","5","HERIDOS","NO APLICA","ATROPELLO"
"2022 Jun 28 12:00:00 AM","C-001479133","VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jul 03 12:00:00 AM","A001456817","KILOMETRO 10 VÍA DINAMARCA  VEREDA   MONTELIBANO","No registra","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Jul 03 12:00:00 AM","A001456816","CALLE 16 CARRERA 34   BACHUE","BACHUE","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Jul 05 12:00:00 AM","A001456818","CALLE 13 CARRERA 14   JUAN MELLAO","JUAN MELLAO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Jul 08 12:00:00 AM","A001456820","DIAGONAL 15  26 - 142 DON BOSCO","DON BOSCO","1","2","MUERTOS","1","CHOQUE"
"2022 Jul 08 12:00:00 AM","A001456821","CALLE 12 CARRERA 35   NUTIVARA","NUTIVARA","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jul 09 12:00:00 AM","A001456822","KILOMETRO 3+400 VÍA  VEREDA   EL CENTRO","No registra","2","2","MUERTOS","2","CHOQUE"
"2022 Jul 06 12:00:00 AM","A001456819","CARRERA 19 CALLE 17   MANCERA","MANCERA","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Jul 10 12:00:00 AM","A001456823","CALLE 14 CARRERA 32   BACHUE","BACHUE","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Jul 12 12:00:00 AM","A001456824","DIAGONAL 15  26 - 46 PABLO VI","PABLO VI","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2022 Jul 13 12:00:00 AM","A001456826","CALLE 10 A  CARRERA 25 DORADO","DORADO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Jul 17 12:00:00 AM","A001456829","AVENIDA 23   CALLE 14 SAN JOSÉ","SAN JOSÉ","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jul 17 12:00:00 AM","A001456830","KILOMETRO 9+200 VÍA CHICHIMENE","No registra","2","1","MUERTOS","1","CHOQUE"
"2022 Jul 16 12:00:00 AM","A001456828","KILOMETRO 26+200     PABLO EMILIO RIVEROS","PABLO EMILIO RIVEROS","1","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Jul 13 12:00:00 AM","A001456825","CALLE 14 CALLE 16   CENTRO","CENTRO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Jul 16 12:00:00 AM","A001456827","CARRERA 23  15 - 20 DORADO","DORADO","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jul 25 12:00:00 AM","A001456831","CARRERA 36  12A - 6 INDEPENDENCIA","INDEPENDENCIA","1","0","HERIDOS","NO APLICA","ATROPELLO"
"2022 Jul 31 12:00:00 AM","A001456833","CALLE 13 CARRERA 16   CENTRO","CENTRO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Jul 30 12:00:00 AM","A001456832","CARRERA 17 CALLE 14   CENTRO","CENTRO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Jul 11 12:00:00 AM","C001479150","KILOMETRO 46+600  GRANADA - VILLAVICENCIO  EL CENTRO","No registra","2","0","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Jul 22 12:00:00 AM","C001479154","KILOMETRO 46+500 BOMBA SEUZ GRANADA - VILLAVICENCIO","No registra","2","1","DAÑOS MATERIALES","NO APLICA","CHOQUE"
"2022 Aug 12 12:00:00 AM","A001456834","CARRERA 18#16-10   -  SANTA ISABEL","SANTA ISABEL","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Aug 13 12:00:00 AM","A001456835","CARRERA 23#5A-05   -  PABLO EMILIO RIVEROS","PABLO EMILIO RIVEROS","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Aug 12 12:00:00 AM","A001456836","CARRERA 23#14-76   -  DORADO","DORADO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Aug 13 12:00:00 AM","A001456838","KILOMETRO 18+700 MTS VIA A DINAMARCA  VEREDA /CAÑO HONDO   MONTELIBANO","No registra","1","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Aug 21 12:00:00 AM","A001456337","CARRERA 23 CALLE  19 -  MANCERA","MANCERA","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Aug 23 12:00:00 AM","A001456839","CARRERA 14 # 16 12  LAS VEGAS","LAS VEGAS","2","3","HERIDOS","NO APLICA","CHOQUE"
"2022 Aug 27 12:00:00 AM","A001456840","CALLE 11 CARRERA  31A 15  LAS ACACIAS","LAS ACACIAS","1","0","MUERTOS","1","CHOQUE"
"2022 Aug 12 12:00:00 AM","C-001479165","KILOMETRO 48+400 MTS   -  VÍA GRANADA-VILLAVICENCIO EL CENTRO","VÍA GRANADA-VILLAVICENCIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Sep 05 12:00:00 AM","A001456841","CARRERA 29 DIAGONAL 15 -  VILLA DEL LLANO","VILLA DEL LLANO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Sep 08 12:00:00 AM","A001456842","CALLE 15 CARRERA  15 -  CENTRO","CENTRO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Sep 12 12:00:00 AM","A001456845","KILOMETRO 2+200 MTS   - VAQUEROS -CHICHIMENE","No registra","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Sep 11 12:00:00 AM","A001456843","CALLE 11 CARRERA  26 -  DORADO","DORADO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Sep 12 12:00:00 AM","A001456844","DIAGONAL 15 # 29 43  VILLA LUCIA","VILLA LUCIA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Sep 14 12:00:00 AM","A001456846","DIAGONAL 15 CARRERA  21 -  COOPERATIVO","COOPERATIVO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Sep 14 12:00:00 AM","A001456847","KILOMETRO 52 GRAN/VILLAVICENCIO  -  VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Sep 19 12:00:00 AM","A001456848","CALLE 10A CARRERA  26 -  LAS ACACIAS","LAS ACACIAS","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Sep 22 12:00:00 AM","A001456849","CARRERA 23 # 25 39  VILLA LUCIA","VILLA LUCIA","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Sep 25 12:00:00 AM","A001456850","DIAGONAL 5 VIA LLANO MAR  -  LLANO MAR","LLANO MAR","1","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Jun 13 12:00:00 AM","C-001479189","KILOMETRO 47+610 MTS INTER VEREDA EL CENTRO    VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","2","1","MUERTOS","1","CHOQUE"
"2022 Sep 15 12:00:00 AM","C-001479191","KILOMETRO 56+720 MTS    -  VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","1","2","HERIDOS","NO APLICA","ATROPELLO"
"2022 Oct 01 12:00:00 AM","A001456851","CALLE 18 FRENTE ALA VILLA OLIMPICA  -","No registra","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Oct 04 12:00:00 AM","A001456853","CALLE 18 # 20 46  MANCERA","MANCERA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Oct 03 12:00:00 AM","A001456852","CALLE 18 CARRERA 7-52 -  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2022 Oct 16 12:00:00 AM","A001456857","CARRERA 14 CALLE 17 -  SAN CRISTOBAL","SAN CRISTOBAL","1","2","MUERTOS","1","ATROPELLO"
"2022 Oct 12 12:00:00 AM","A001456354","CALLE 12 CARRERA  38 INDEPEN II ETAPA  INDEPENDENCIA","INDEPENDENCIA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Oct 16 12:00:00 AM","A001456856","CARRERA 31 CALLE  16C -  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Oct 14 12:00:00 AM","A001456855","CALLE 12 CARRERA 25 -  DORADO","DORADO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Oct 19 12:00:00 AM","A001456858","CARRERA 41 AVENIDA 23 PLAZA CENTENARIA  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","1","1","MUERTOS","1","OTRO"
"2022 Oct 21 12:00:00 AM","A001456859","CALLE 15 CARRERA  15-48 -  CENTRO","CENTRO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Oct 25 12:00:00 AM","A001456860","AVENIDA 23 CALLE 29B -  ASOCIACIÓN DE AMIGOS","ASOCIACIÓN DE AMIGOS","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Oct 27 12:00:00 AM","A001456861","CARRERA  19 CALLE 18 FRENTE ALA VILLA OLIMPICA","SIN INFORMACIÓN DEL BARRIO","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2022 Oct 09 12:00:00 AM","C-001479207","KILOMETRO 44+500 MTS   -  VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Oct 09 12:00:00 AM","C- 001479206","KILOMETRO 44+350 MTS   OROTOY  VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Oct 16 12:00:00 AM","C - 001482371","KILOMETRO 47+400 MTS   VEREDA CENTRO  VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Nov 07 12:00:00 AM","A001456863","CALLE 11 # 33-12  -  SAMAN","SAMAN","2","2","MUERTOS","1","CHOQUE"
"2022 Nov 01 12:00:00 AM","A001456862","KILOMETRO 1+500 MTS   ACACIAS CHICHIMENE   ESMERALDA","No registra","1","3","HERIDOS","NO APLICA","CHOQUE"
"2022 Nov 08 12:00:00 AM","A001456864","CALLE 14 CARRERA 12 -  JUAN MELLAO","JUAN MELLAO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Nov 09 12:00:00 AM","A001456865","CALLE 13 CARRERA  27 -  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Nov 15 12:00:00 AM","A001456866","CARRERA 22 CALLE  18 -  MANCERA","MANCERA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Nov 17 12:00:00 AM","A001456867","CARRERA 36 CALLE  11 -  INDEPENDENCIA","INDEPENDENCIA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Nov 19 12:00:00 AM","A001456868","AVENIDA 23 # 21B-30B -  GUARATARA II","GUARATARA II","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Nov 19 12:00:00 AM","A001456869","CARRERA 31 CALLES 16C 16D  BACHUE","BACHUE","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2022 Nov 23 12:00:00 AM","A001456871","CALLE 16 CARRERA  29 B/BOSQUE  EL BOSQUE","EL BOSQUE","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Nov 22 12:00:00 AM","A001456870","CARRERA 39 CALLE 11 -  INDEPENDENCIA","INDEPENDENCIA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Nov 24 12:00:00 AM","A001456872","CALLE 14 # 25 - 44  -  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Nov 26 12:00:00 AM","A001456873","CALLE 18 CARRERA 48 -  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Nov 26 12:00:00 AM","A001456874","DIAGONAL 15 # 30-15 VILLA DEL SOL","No registra","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Nov 30 12:00:00 AM","A001456875","CARRERA 18 # 13-85 -  CENTRO","CENTRO","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2022 Nov 25 12:00:00 AM","C-001482395","KILOMETRO 45+000 MTS   -  VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Dec 02 12:00:00 AM","A001456876","CARRERA 31 CALLE  16F -  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Dec 05 12:00:00 AM","A001456877","AVENIDA 23 CALLE  18 -  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","1","2","HERIDOS","NO APLICA","ATROPELLO"
"2022 Dec 10 12:00:00 AM","A001456878","CALLE 18 CRA 19 -  MANCERA","MANCERA","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Dec 11 12:00:00 AM","A001456879","CALLE 11 CARRERA  35A -  INDEPENDENCIA","INDEPENDENCIA","2","2","HERIDOS","NO APLICA","CHOQUE"
"2022 Dec 18 12:00:00 AM","A001456881","CALLE 14 CARRERA  23 -  SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Dec 17 12:00:00 AM","A001456880","CALLE 18 CARRERA  14 -  SAN CRISTOBAL","SAN CRISTOBAL","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Dec 29 12:00:00 AM","A001456883","CALLE 11 CARRERA  24 -  DORADO","DORADO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Dec 28 12:00:00 AM","A001456882","CARRERA 31 N  14-110 VILLA DEL SOL","No registra","1","1","HERIDOS","NO APLICA","CHOQUE"
"2022 Dec 27 12:00:00 AM","C-001482414","KILOMETRO 46+650 MTS   -  VÍA GRANADA-VILLAVICENCIO","VÍA GRANADA-VILLAVICENCIO","2","1","HERIDOS","NO APLICA","CHOQUE"
