"Fecha_Ocurrencia","Codigo_Accidente","Direccion","Barrio","Vehiculos Involucrados","Heridos","Accidente con","Muertes","Clase de Accidente"
"2023 Sep 18 12:00:00 AM","A001602212","CARRERA 23 FRENTE ALA BIBLIOTECA MUNICIPAL    SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2023 Sep 27 12:00:00 AM","A001602213","KILOMETRO 1+100 MTS DESDE JUAN ROZO VIA DINAMARCA     SANTA TERESITA","No registra","2","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Sep 28 12:00:00 AM","A001602214","CALLE 18 CARRERA 18   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Oct 01 12:00:00 AM","A001602215","KILOMETRO 1 VIA ANTIGUA GUAMAL    RANCHO GRANDE","No registra","1","0","MUERTOS","1","CHOQUE"
"2023 Oct 02 12:00:00 AM","A001602216","CALLE 16 CARRERA 27   EL BOSQUE","EL BOSQUE","2","3","HERIDOS","NO APLICA","CHOQUE"
"2023 Oct 05 12:00:00 AM","A001602218","KILOMETRO 8 VIA VAQUEROS CLUB  CHICHIMENE     SAN ISIDRO DE CHICHIMENE","No registra","2","0","MUERTOS","1","CHOQUE"
"2023 Oct 04 12:00:00 AM","C-001582322","KILOMETRO 45+340 MTS      LA CECILITA","No registra","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Oct 05 12:00:00 AM","A001602217","CALLE 11 N 27 -19   LAS ACACIAS","LAS ACACIAS","2","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Oct 07 12:00:00 AM","A001602219","KILOMETRO 14 VIA  Dinamrca     MONTELIBANO BAJO","No registra","2","0","MUERTOS","1","CHOQUE"
"2023 Oct 11 12:00:00 AM","A001602220","CALLE 11 CARRERA 38   INDEPENDENCIA","INDEPENDENCIA","2","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Oct 13 12:00:00 AM","C-00158479","KILOMETRO 46+970 MTS VIA VILLAVICENCIO GRANADA  SECTOR CODE SOLA","No registra","2","0","MUERTOS","2","CHOQUE"
"2023 Oct 14 12:00:00 AM","A001602221","CALLE 41 ENTRE LA DIAGONAL 15 Y AVENIDA 23  FRENTE ALA  NORMAL SUPERIOR","No registra","1","1","HERIDOS","NO APLICA","ATROPELLO"
"2023 Oct 15 12:00:00 AM","A001602222","CALLE 14 CARRERA 34   BACHUE","BACHUE","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Oct 16 12:00:00 AM","A001602223","CARRERA 23 N . 27-33 VILLA CLAUDIA BARRIO","No registra","1","3","HERIDOS","NO APLICA","ATROPELLO"
"2023 Oct 19 12:00:00 AM","A001602224","AVENIDA 23 N 33-25   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","2","HERIDOS","NO APLICA","CHOQUE"
"2023 Oct 21 12:00:00 AM","A001602225","CALLE 15 CARRERA 17   CENTRO","CENTRO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Oct 22 12:00:00 AM","A001602226","AVENIDA 23 CALLE  11   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","2","1","HERIDOS","NO APLICA","CHOQUE"
"2023 Oct 23 12:00:00 AM","A001602227","DIAGONAL 15 CARRRA  26A   SIN INFORMACIÓN DEL BARRIO","SIN INFORMACIÓN DEL BARRIO","1","2","HERIDOS","NO APLICA","OTRO"
